,Disease,Symptoms,Cleaned_Symptoms
0,Abdominal aortic aneurysm,"In most cases, an AAA causes no noticeable symptoms. However, if it becomes large, some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain.
An AAA doesn’t usually pose a serious threat to health, but there’s a risk that a larger aneurysm could burst (rupture).
A ruptured aneurysm can cause massive internal bleeding, which is usually fatal. Around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery.
The most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen.
If you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance.
",case aaa cause noticeable symptom however becomes large people may develop pain pulsating feeling abdomen tummy persistent back pain aaa doesnt usually pose serious threat health there risk larger aneurysm could burst rupture ruptured aneurysm cause massive internal bleeding usually fatal around people rupture either die reach hospital dont survive surgery common symptom ruptured aortic aneurysm sudden severe pain abdomen suspect someone else ruptured aneurysm call immediately ask ambulance
1,Achilles tendinopathy,"Symptoms may vary from person to person. They can appear gradually or suddenly.
People may experience:

swelling
pain that’s worse during or after moving or exercising
stiffness that’s worse in the morning or after a period of rest
tenderness to touch the affected area
mild heat
loss of movement and strength around the ankle and foot

People can have one or multiple symptoms.
",symptom may vary person person appear gradually suddenly people may experience swelling pain thats worse moving exercising stiffness thats worse morning period rest tenderness touch affected area mild heat loss movement strength around ankle foot people one multiple symptom
2,Acute lymphoblastic leukaemia,"Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of blast cells (immature white blood cells) in your blood increases.
Most of the symptoms are caused by the lack of healthy blood cells in your blood supply.
Symptoms of acute lymphoblastic leukaemia include:

pale skin
feeling tired and breathless
having repeated infections over a short space of time
unusual and frequent bleeding, such as bleeding gums or nose bleeds
high temperature (fever) of 38C (100.4F) or above
night sweats
bone and joint pain
easily bruised skin
swollen lymph nodes (glands)
abdominal pain – caused by a swollen liver or spleen
unexplained weight loss 
a purple skin rash (purpura)

In some cases of acute lymphoblastic leukaemia, the affected cells can spread from your bloodstream into your central nervous system. This can cause a series of neurological symptoms (related to the brain and nervous system), including:

headaches
seizures (fits)
vomiting
blurred vision
dizziness

",symptom acute lymphoblastic leukaemia usually begin slowly rapidly getting severe number blast cell immature white blood cell blood increase symptom caused lack healthy blood cell blood supply symptom acute lymphoblastic leukaemia include pale skin feeling tired breathless repeated infection short space time unusual frequent bleeding bleeding gum nose bleeds high temperature fever c f night sweat bone joint pain easily bruised skin swollen lymph node gland abdominal pain caused swollen liver spleen unexplained weight loss purple skin rash purpura case acute lymphoblastic leukaemia affected cell spread bloodstream central nervous system cause series neurological symptom related brain nervous system including headache seizure fit vomiting blurred vision dizziness
3,Acute lymphoblastic leukaemia: Children,"As the leukaemia cells multiply in the bone marrow, the production of normal blood cells is reduced. Children may therefore become tired and lethargic because of anaemia, which is caused by a lack of red blood cells.
Children may develop bruises, and bleeding may take longer to stop because of the low number of platelets present in their blood (which help blood to clot). Sometimes, children suffer from infections because of low numbers of normal white blood cells.
A child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands.
At first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear.
",leukaemia cell multiply bone marrow production normal blood cell reduced child may therefore become tired lethargic anaemia caused lack red blood cell child may develop bruise bleeding may take longer stop low number platelet present blood help blood clot sometimes child suffer infection low number normal white blood cell child likely feel generally unwell may complain ache pain limb may swollen lymph gland first symptom like viral infection continue week two diagnosis usually becomes clear
4,Acute lymphoblastic leukaemia: Teenagers and young adults,"Many of the symptoms of ALL are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:

looking paler than usual and feeling tired – because of too few red blood cells (anaemia)
bruises – you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal
infections – because there are too few mature white blood cells to fight infection
aches and pains in your bones
swollen glands (lymph nodes) in your neck, under your arm or in your groin
feeling unwell and run down
fever and sweats – you may have a high temperature without any obvious cause, such as an infection
headaches and visual disturbance

There can be other reasons you may have these symptoms. But if you are worried that you may have ALL, you should speak to your GP. They’ll examine you and refer you to a hospital if they think you need to see a specialist doctor.
",many symptom caused fewer normal healthy blood cell body symptom include looking paler usual feeling tired red blood cell anaemia bruise may bruise easily could take longer bleeding stop le blood clotting cell platelet normal infection mature white blood cell fight infection ache pain bone swollen gland lymph node neck arm groin feeling unwell run fever sweat may high temperature without obvious cause infection headache visual disturbance reason may symptom worried may speak gp theyll examine refer hospital think need see specialist doctor
5,Acute myeloid leukaemia,"The symptoms of AML usually develop over a few weeks and become increasingly more severe. Symptoms can include:

pale skin
tiredness
breathlessness
frequent infections
unusual and frequent bleeding, such as bleeding gums or nosebleeds

In more advanced cases, AML can make you extremely vulnerable to life-threatening infections or serious internal bleeding.
Read more about the complications of AML
",symptom aml usually develop week become increasingly severe symptom include pale skin tiredness breathlessness frequent infection unusual frequent bleeding bleeding gum nosebleed advanced case aml make extremely vulnerable lifethreatening infection serious internal bleeding read complication aml
6,Acute myeloid leukaemia: Children,"As the leukaemia cells multiply in the bone marrow, the production of normal blood cells is reduced. Children may therefore become tired and lethargic because of anaemia, which is caused by a lack of red blood cells.
Children may develop bruises, and bleeding may take longer to stop because of the low number of platelets present in their blood. Sometimes they may suffer from infections because of low numbers of normal white blood cells.
A child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands.
At first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear.
",leukaemia cell multiply bone marrow production normal blood cell reduced child may therefore become tired lethargic anaemia caused lack red blood cell child may develop bruise bleeding may take longer stop low number platelet present blood sometimes may suffer infection low number normal white blood cell child likely feel generally unwell may complain ache pain limb may swollen lymph gland first symptom like viral infection continue week two diagnosis usually becomes clear
7,Acute myeloid leukaemia: Teenagers and young adults,"Many of the symptoms of AML are caused by having fewer than normal healthy blood cells in the body. Symptoms can include:

looking paler than usual and feeling tired – because of too few red blood cells (anaemia)
bruises or bleeding – you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal
infections – because there are too few mature white blood cells to fight infection
aches and pains in your bones
swollen glands (lymph nodes) in your neck, under your arm or in your groin
feeling unwell and run down
fever and sweats – you may have a high temperature without any obvious cause, such as an infection
headaches and blurred vision – because of too many white blood cells
breathlessness – because of too many white blood cells.

",many symptom aml caused fewer normal healthy blood cell body symptom include looking paler usual feeling tired red blood cell anaemia bruise bleeding may bruise easily could take longer bleeding stop le blood clotting cell platelet normal infection mature white blood cell fight infection ache pain bone swollen gland lymph node neck arm groin feeling unwell run fever sweat may high temperature without obvious cause infection headache blurred vision many white blood cell breathlessness many white blood cell
8,Acute pancreatitis,"The main symptom of acute pancreatitis is a severe, dull pain around the top of your stomach that develops suddenly.
This aching pain often gets steadily worse and can travel along your back or below your left shoulder blade. Eating or drinking may also make you feel worse very quickly, especially fatty foods.
Leaning forward or curling into a ball may help to relieve the pain, but lying flat on your back often increases the pain.
Acute pancreatitis caused by gallstones usually develops after eating a large meal. If the condition is caused by alcohol, the pain often develops 6 to 12 hours after drinking a significant amount of alcohol.
",main symptom acute pancreatitis severe dull pain around top stomach develops suddenly aching pain often get steadily worse travel along back left shoulder blade eating drinking may also make feel worse quickly especially fatty food leaning forward curling ball may help relieve pain lying flat back often increase pain acute pancreatitis caused gallstone usually develops eating large meal condition caused alcohol pain often develops hour drinking significant amount alcohol
9,Addison’s disease,"Addison’s disease can be difficult to detect at first, because early symptoms are similar to symptoms of many other health conditions.
Initial symptoms of Addison’s disease can include:

fatigue (lack of energy or motivation)
lethargy (abnormal drowsiness or tiredness)
muscle weakness
low mood (mild depression) or irritability
loss of appetite and unintentional weight loss
the need to urinate frequently
increased thirst
craving for salty foods

Dehydration can also be an early sign of Addison’s disease. It’s caused by lack of the hormone aldosterone in your body, which is used to regulate the balance of salt and water.
",addisons disease difficult detect first early symptom similar symptom many health condition initial symptom addisons disease include fatigue lack energy motivation lethargy abnormal drowsiness tiredness muscle weakness low mood mild depression irritability loss appetite unintentional weight loss need urinate frequently increased thirst craving salty food dehydration also early sign addisons disease caused lack hormone aldosterone body used regulate balance salt water
